GeneID	Length	Ngfr-P-3
77633	2755	19
100861893	736	0
72097	4361	1318
100503734	2218	1
211484	3400	122
623661	1555	134
69028	1229	743
107734	691	949
332427	2564	0
69541	798	0
98258	4596	1694
226982	7797	4400
56210	4262	1175
16764	6010	242
381338	5077	1
98388	3120	37
100503760	2386	0
433292	1001	0
68833	1706	1823
18143	4180	2565
114641	1254	297
54610	4440	3611
52846	3170	1196
100217461	94	4
67702	2434	1144
263764	5799	4
619289	2000	0
100042065	359	0
73426	531	0
26921	5974	4001
100047133	858	27
16178	1343	666
16177	5035	3176
107527	1950	2195
17082	6967	7
16182	4781	3105
16174	2487	9
110895	3822	66
226999	3493	182
211798	3152	216
381339	1096	0
74897	573	0
66297	546	0
18993	3065	0
73100	2841	0
69527	1419	741
93690	3860	0
73122	5538	2352
98404	3457	947
14200	1563	99
666642	647	5
17974	2775	1422
100861934	1421	6
78896	888	7
67883	1263	378
100503192	585	391
22019	4649	3230
433294	1086	1
75623	1265	333
72050	2324	634
246229	3571	731
22592	4010	1257
100861960	766	0
403183	3181	0
70676	2976	288
75066	906	0
12825	5564	8
12832	6615	79
73674	2612	1835
433297	641	447
53945	3380	234
100042453	717	3
212225	3483	0
227058	12318	461
100101919	12384	57
227059	4961	2370
442837	542	0
56363	3339	10
442821	2552	0
20324	3055	5680
109019	2838	1413
100045066	3051	4
17912	5042	1360
20849	2981	8
100042634	432	8
20846	5356	2569
14660	7488	4043
17936	5088	3870
227094	3394	500
98682	5591	4325
16329	1776	715
227095	1704	838
67080	834	7
17700	2682	41
69397	627	0
227099	3032	218
227102	1846	500
72085	2283	182
70396	2362	1021
627872	12272	3
98267	3278	762
329152	11336	2
78016	3807	6
98488	3005	580
241062	10579	413
329154	6140	349
81898	6192	16367
67876	1733	3333
15510	2332	3038
15528	768	867
19070	2826	2155
74013	3677	6
212679	2882	225
75388	1258	0
227120	6555	55
626009	1369	121
329159	1906	1
71066	1408	0
212712	5286	116
329160	3728	19
407809	3304	0
75323	2052	2
73467	3008	192
68736	1442	305
68115	1325	402
67198	4045	1771
51960	2733	408
68549	5416	262
11761	4382	1600
71724	4360	11423
71872	4973	13
213043	4776	2
66882	2833	6385
12747	3088	9092
70225	1630	449
65102	2105	515
18393	3371	838
100504455	2126	3
213056	8695	1055
66495	532	695
100504501	936	13
108812	1579	5
12633	7814	2854
12370	2777	728
70827	6240	1794
227154	2318	432
73463	2131	0
381259	1972	477
227157	3087	5
74018	7038	707
271697	1477	0
14369	4809	983
381260	3595	13
22218	1215	1493
55989	1976	3187
100217459	53	6
100217421	63	0
12168	3507	1995
100504533	314	167
72750	5532	1728
70375	3650	13
57750	3376	401
241066	2604	250
100504573	431	67
269198	12108	2928
77951	1501	476
329165	5974	1004
77300	9117	1741
100043027	207	5
100042533	791	0
12487	4317	1
100504618	845	0
12477	1931	2
54167	3254	3
77341	892	0
72823	8392	824
18187	8122	60
74992	895	7
227195	13529	4089
100380944	1802	32
100504668	1301	16
227197	2927	2461
55949	1933	11177
100217464	113	46
241070	1606	0
73884	12621	84
23792	6879	0
241073	2427	0
76668	1711	2
75619	3205	613
74426	1756	4
433315	1432	0
93691	1344	262
12912	8421	2821
67099	2666	368
69941	713	23
227210	2927	732
14367	6914	2762
241075	8562	432
70861	1353	0
667276	1020	1
12968	642	0
12967	635	0
12966	612	0
12965	605	0
12964	615	0
98303	2180	6
15926	2438	3954
18711	11255	2312
213527	2414	0
12969	622	0
17756	5520	1115
100038569	1663	0
329178	13533	4
66646	2630	1109
68691	4760	2238
11363	1892	4314
100862127	515	0
17901	1111	5
14768	4461	3384
227231	4704	10
13869	4257	23
100502712	2069	0
22779	9424	3769
66722	2270	4
320460	4655	0
12021	5448	174
74591	8323	1
108147	2611	2421
14268	8312	2052
100042814	1193	0
667931	1019	0
71134	1093	0
433319	483	3
381269	2493	1406
111175	1186	190
271711	2815	0
22596	2556	2349
381270	4187	396
54380	6715	2199
319695	4573	0
19981	588	1829
16008	1330	698
16011	5854	31728
21958	427	0
69449	571	0
723792	1560	2
78718	551	0
109198	1801	0
21961	9966	10498
435626	2336	115
100862357	817	0
12765	3043	2
227288	1125	0
100316687	67	0
76709	1597	8872
227289	990	2
227290	1820	4929
56695	3501	1517
69660	2309	9352
241112	2101	24
18173	2304	52
227292	2776	3779
387219	85	1
22349	3117	4
319651	7196	1373
58184	3266	1467
18802	3121	25
77264	7472	1036
66821	1829	452
57751	1475	890
269209	5235	171
67534	4253	1286
104086	1890	79
241113	2832	1
22420	2068	102
22409	1962	1363
12570	2704	0
260298	1479	0
12958	702	3
723900	64	0
241116	5718	37
16147	2444	8
75570	860	116
22626	2059	429
69171	2738	2262
227298	2557	2815
68818	1299	707
74104	2934	747
245860	3764	1729
52231	2764	608
74577	3451	275
20872	2885	1130
22145	2053	2225
381272	767	6
56812	3203	1449
19275	3535	20
19711	710	0
13437	1946	1607
13346	2150	1
100503248	676	0
11790	11933	58
69080	1528	795
100862164	449	0
241118	2650	6
74241	3235	1407
319998	2185	191
98733	5770	941
16322	1463	251
71728	4458	1343
20536	4441	863
100862333	771	0
620079	2188	0
13838	6328	249
18505	3868	0
100039210	1208	0
433323	3998	5
23874	2132	1718
68393	1206	2
74205	3950	4035
195434	3981	1301
57814	2463	0
20254	2485	5
100862182	832	5
252903	2876	345
69368	4714	805
100038695	1791	0
69163	1424	700
100862198	480	0
20720	2055	56
241128	2862	0
26554	2764	4985
72208	394	0
210293	7303	110
241134	4919	0
16367	9163	796
100503073	3039	6
76867	3757	1330
100503095	2833	7
12829	7808	196
12828	8609	176
75734	1866	2189
66261	1503	0
100044526	654	1
15463	3137	3100
80721	2974	45
71386	992	0
20297	802	316
71227	1670	9
77629	6512	0
98496	2667	148
227325	3632	3
100628595	77	0
14897	9632	11071
66153	900	109
71781	2349	2
100503433	891	0
381287	1760	0
621875	1334	1
100040135	1348	0
665378	1621	7
620078	1971	3
100040213	891	1
100039794	1073	0
665338	891	0
109032	1971	325
434484	2417	69
100503502	852	1
100503045	659	0
20684	2158	1641
319997	1936	92
12283	3800	10591
64294	2024	7072
71141	1148	1
227326	2550	0
70060	1602	0
72792	3331	21
70247	3256	4451
15559	2072	9
78795	5258	481
100861644	653	0
227327	2595	20
383538	483	0
17975	8257	17650
100303740	116	25
80828	68	1
319336	1266	25
14767	1218	1
71863	1721	0
19231	1192	5321
18582	1092	532
26895	2231	498
18159	1042	21
208718	3171	1037
11650	2113	0
76768	2337	0
11648	1680	0
13599	2698	0
69453	1999	0
11447	2910	0
11449	1921	0
26987	4928	1787
98363	1805	2
227331	5743	3570
100040591	1349	1514
73234	462	1
53972	3384	1796
319977	1676	47
620454	1602	0
23956	2018	98
16331	4938	159
77040	3180	1579
100217415	248	6
20215	1718	7
100503175	947	1
227333	5694	3672
227334	5316	1432
394430	3242	0
394434	3216	0
394432	3294	74
394435	2293	299
94284	3302	2562
394433	3208	7
22236	3206	15
15504	1017	10
394436	3229	17
100040766	7526	12
381280	8439	385
78605	3662	0
171382	3844	0
75396	870	0
14659	1957	1
100503197	2622	29
320982	3967	7316
78650	476	0
73475	603	0
98402	3673	2968
77331	591	0
347722	9581	1945
74403	3611	2
14472	2126	0
208372	1404	0
74918	3210	7
12778	2579	3852
108679	1843	1612
433332	1207	0
12835	10841	1
171531	4484	2605
623503	261	5
19329	1950	202
16978	5743	5363
329207	3851	22
51801	3022	202
67921	1363	1117
665783	892	150
50880	2207	440
227357	5442	12
100503326	684	0
70788	3020	3
227358	2815	70
67444	1368	1965
67086	547	3
55927	1335	1515
18627	5837	11402
74019	3500	1291
65247	6072	642
13345	1312	0
208727	3960	1000
67273	1220	2162
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	5
66915	711	694
260301	704	3
14733	3552	876
100504295	543	1
387167	66	0
241158	3243	18
67446	1491	253
108657	3039	3589
100037260	1689	4
23830	2877	431
64095	4396	40
208760	1088	0
16560	8257	10
11611	1517	4
71874	2362	863
381284	7348	34
208777	4474	2948
69821	3315	2504
269224	5119	288
66385	3653	1232
404545	3217	145
110611	6238	14418
18000	3335	5364
227377	3912	438
59041	3254	3233
51800	1432	599
67026	2160	1605
66615	2964	1781
21915	1310	679
66262	4539	1424
98314	3058	602
381334	2846	0
100041596	1185	1
666009	570	8
619597	4059	1
241159	4511	0
18566	1930	0
74689	1565	0
67698	2107	482
20452	5677	12
75381	761	0
100504401	921	0
73454	356	0
75159	583	0
227394	2394	714
329217	3849	85
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	0
52392	2738	1393
227399	5565	2034
252876	2041	232
18484	4103	16492
78603	1178	33
69030	1687	1
70866	2328	0
100504494	800	10
241175	5120	2
100504525	886	0
23836	3722	0
320311	8529	266
100504568	1284	2
27392	6777	1452
227446	5406	2662
100042023	231	18
21934	5022	382
635504	465	5
227449	6661	2277
626049	545	1
98432	6104	1837
12043	7749	601
320761	1243	0
70750	5582	1946
20479	3272	3535
20724	2565	6354
71869	1735	55
241196	1607	1
20248	1629	2
394252	1164	0
383548	1632	0
381286	1659	0
66957	1699	155
116872	1887	5
18788	2047	3220
241197	3490	2854
20725	3289	2899
241201	3353	0
227485	3054	0
319901	5763	795
636808	3915	0
634762	729	0
22099	3040	1652
67949	1894	1144
76707	7899	2260
68204	597	46
81879	9270	1033
14633	6708	130
16324	4255	1984
100502628	748	0
64143	2277	724
226351	2830	562
226352	7746	2035
19258	4707	801
66343	3301	175
226356	2511	0
319229	1924	0
170706	1017	42
13167	745	1148
73103	1089	40
68428	3177	59
226359	2000	0
17167	1985	0
13798	2554	0
98452	1580	0
72999	2524	1354
70829	7256	1467
15564	2019	0
66942	2249	388
100502702	453	0
269109	4630	0
74117	2746	4116
74150	2597	1836
71111	2690	59
72585	2047	0
210356	7593	37
107895	3104	822
667090	484	120
72160	2517	9
266645	2303	2
100502745	464	7
72949	3514	2676
22625	3936	8
226407	4251	2460
226409	4154	329
226412	4812	2670
387147	70	1
67812	4093	3778
226413	6166	5
17219	2901	1694
226414	2509	2322
12767	1814	243
210417	6253	1
100042740	613	68
13137	1324	3
13136	2527	4004
22789	2034	2
12269	1883	1
12270	754	23
18640	9621	7273
226418	3843	495
212439	2909	4339
64435	1911	52
100502856	1065	26
18703	3849	1923
69169	1491	3
93672	1116	0
58181	824	0
329244	1023	0
16153	1306	16
17164	2567	5809
226419	2072	219
16865	2290	1250
54354	3405	675
56489	3203	1175
14270	8040	2983
108900	2105	62
26361	4148	0
13034	2120	15
226421	2523	623
320718	3640	32
212933	3540	1334
98396	4660	1449
226422	1189	282
98415	6096	3112
212980	3426	2245
13714	3671	1512
213006	4853	840
18557	3046	1442
723818	97	1
213409	958	177
213417	4269	2173
74137	3132	1764
68875	3410	370
213452	6385	2835
213464	3632	1421
74626	1742	144
21367	9535	0
269116	10379	17
100038653	1879	0
16980	3346	1
17248	3490	3755
240752	7929	1647
108954	5588	5090
240753	7457	11585
100502933	3112	29
68338	1842	3
280287	496	0
19701	1423	0
214253	2279	49
20668	3531	818
20643	492	827
70579	4395	8719
667118	5007	4930
240754	2371	4
381290	8292	340
269120	2074	0
116847	3602	23
100502984	884	0
14264	2859	1
100502999	532	9
12227	3083	50230
667414	432	1
71884	1711	82
12654	1689	53
53311	1829	1
11539	5786	8
17928	1480	1
68507	6067	91
57439	3169	1969
240755	1770	0
72017	1626	694
72674	2024	4264
100861791	590	0
240756	3196	1002
98710	1960	866
100503055	641	13
71001	1457	1
75605	6300	4384
20980	3386	2
329251	6185	402
67196	1079	128
329252	3623	7880
13924	6089	3
100038590	915	2
320139	3264	3
68724	1702	2526
171469	2253	1
13710	2000	11299
215615	2301	4488
21854	917	854
93689	3942	57
77552	1190	46
226432	6236	2512
215690	12767	279
13007	1770	20458
27280	1467	3635
21952	1114	7
16763	2992	6757
21956	1194	108
18772	4486	12155
226438	8996	0
66241	1750	1119
12292	6260	0
329253	508	0
16565	9119	502
76422	2922	75
67313	3013	2938
100042513	584	0
383563	1960	1
67886	7823	8592
320054	2097	42
67997	2228	434
381293	8770	205
71084	1846	0
226442	5275	1464
100503460	489	9
100503474	1199	4
667686	385	1
26424	3857	0
320138	3023	0
735252	87	0
723890	80	2
19264	5664	235
338375	1887	0
59125	3366	8072
545363	1930	0
16876	5750	2
69549	571	109
75546	410	0
329260	8314	1266
170788	4702	3
71209	1111	0
226470	8362	1351
12316	9866	727
14060	2378	0
50702	1732	0
624286	999	0
214403	2887	2
545366	1602	0
12628	4365	551
240776	3957	0
75910	551	0
226472	591	0
214498	2678	2122
26878	4578	4011
69367	3730	787
20822	8721	2822
56207	1851	716
19735	3009	1425
100861894	494	0
246709	1497	57
50778	1330	572
624910	459	3
64214	1859	0
215378	3172	0
100043240	3910	1
791353	1179	0
100503781	490	0
18783	2846	1717
320019	1098	4
19225	4150	7897
100043257	532	965
100043261	345	0
20028	1247	0
75584	610	0
226499	3242	1441
108989	7550	9080
96875	4278	11
545370	18316	236
402734	2640	0
73176	1674	0
117198	5037	6708
66875	3668	1012
98685	2665	1413
19821	3028	1766
100503012	373	189
63913	3939	1786
66967	6604	3000
69399	9754	2379
66637	1133	269
269132	4056	1
19731	3887	72
100861876	505	5
71281	1566	0
67771	1897	3416
100503084	519	0
17970	2596	61
226517	6069	3565
226518	4523	6
16782	5164	6087
226519	7622	5995
626058	2827	5
71836	2045	1
13211	4613	7739
74091	1403	1
67792	5804	3
329271	3337	0
19734	2335	12
24014	4758	150
240816	3640	7
240817	1654	0
433365	2527	0
240819	1415	0
14645	2782	38690
100861882	573	0
207678	1877	0
78112	613	0
12290	12697	2
15939	3270	5215
15064	2509	823
58244	2459	1675
207792	4611	49
100503411	2791	0
19775	7651	3455
433367	1751	1
72482	1942	979
16872	1853	0
100861926	688	0
104009	3361	7136
74081	13307	6045
208263	4439	2706
240832	8112	6156
329274	3687	0
214575	3443	1
170484	3108	1
77352	3297	7
20652	4785	922
11352	10714	4593
30935	3268	1757
100503836	636	0
215015	4238	3716
78255	7133	669
72713	2190	5
73435	898	1
226525	10046	970
69953	1194	159
226527	1289	184
89867	4651	4
100504090	420	1
240843	4101	0
11899	7224	0
735253	109	0
23850	8585	8
72025	2475	0
26374	5056	925
100217414	118	3
21960	5395	68
67647	5391	3891
75255	887	123
329278	5812	28
64659	1970	772
12301	2115	1581
29809	9489	2506
100316784	109	0
620246	1086	2
620750	465	10
381305	11011	4166
11905	2162	12
240869	3883	262
14455	2554	6744
100628588	91	0
100217446	65	70
226539	3581	347
70454	4327	191
226541	4037	381
73844	3723	1
100502590	954	0
11758	2334	39664
22164	1609	0
240873	2064	4
14103	1935	0
226551	6308	4046
75368	1164	2
67292	3301	807
103967	7523	45
72753	919	0
474332	7928	1
723821	110	0
387210	110	0
71449	2791	514
53330	2532	459
17926	2080	2
100038657	741	0
226562	10444	14319
226564	1787	8
14261	2326	184
55990	3336	27265
226565	1870	5615
14262	2010	26088
78258	2956	8
18933	7448	0
98376	2509	290
240879	1053	0
16579	3907	1507
240880	4069	1246
381306	2912	132
69962	1457	142
20339	2912	0
20343	2321	0
20344	3438	2
100503816	1241	5
14067	7406	8547
116914	3546	368
74895	1896	611
66352	4035	987
171567	3011	860
11931	2422	18769
56429	1636	2
433374	1588	0
16963	502	0
69476	357	0
75857	998	0
83993	2662	0
108735	5526	3220
226591	4395	1173
240888	1943	28
74106	3306	2204
70456	854	1359
271639	5209	1
68481	2356	1332
100503268	612	1
226594	2670	166
100503283	1514	1
433375	2125	1014
12503	4604	3
18986	13123	1335
240892	4025	0
59290	2293	33
98558	1546	2
100039795	8260	0
100503318	2514	11
27878	2145	840
71592	7372	1679
226601	1744	0
226604	3012	0
240894	3065	0
100503962	936	0
226610	4986	16
80914	1338	1231
68944	4474	986
100862084	376	0
56752	2833	1071
66447	635	1526
240899	1137	0
100503977	287	0
20183	2363	0
110648	3338	0
18514	9027	14079
66977	2405	229
19737	1809	1
100862094	1412	0
19736	2941	0
78465	1440	5
15490	4574	225
67303	1135	0
18214	8290	7
107652	2283	3067
16589	2024	716
545378	399	0
622708	1691	2
26904	1433	20
665574	3833	1878
76925	713	28
70729	3684	667
320078	3095	309
226641	7463	3145
80915	1374	381
435653	1284	0
98752	1727	0
14130	1547	40
246256	1250	32
14131	1353	84
75472	1034	85
66052	1179	2100
17528	1993	33
66425	1575	5
12355	1414	6
641376	2920	705
11807	521	1
14127	658	108
226646	1606	3762
240913	3673	0
57370	1998	1847
19044	1821	1339
30941	2185	1470
66155	964	700
100862110	308	0
100504072	1662	3
21945	2733	1318
27045	1374	892
18637	622	745
68874	1555	153
71740	3504	1000
226652	4488	65
22278	1822	1030
226654	551	87
16456	2482	9483
56009	1273	134
16429	1140	21
18106	3758	13
17085	2449	8
75345	3977	61
12506	1142	28
100041098	195	257
27218	2688	0
12523	6253	35
100038548	2574	2
100862186	671	0
30925	2443	1
93840	2260	541
18071	2487	1
59287	2855	4390
12847	4629	7331
100504176	730	0
19298	3131	1892
98193	3743	5170
18611	2477	1927
12372	1874	5
27222	3485	1
98660	6227	86
140559	2234	983
16524	3270	1
16513	5407	12
67556	7569	896
100862199	620	1
98365	1145	88
93842	4249	657
21346	1382	4806
71870	1822	459
71319	941	405
240916	1879	535
74748	2040	7
677296	1914	0
68440	1417	155
100040320	811	4
12944	1698	0
20219	984	0
18313	1050	0
258759	933	0
258758	1063	0
258880	942	0
258881	1034	0
14125	1026	0
258645	991	0
100504232	694	0
13349	1158	0
94332	4159	1
383619	2541	12
240921	2951	4
545384	1294	0
623121	2680	2
236312	3497	14
100033459	2987	0
100504251	716	0
226691	3484	141
15951	2296	79
100504287	1468	52
666028	634	181
100040462	1908	208
381308	1651	33
15950	3793	118
26388	1796	7914
226695	1613	12
258712	1004	0
258711	939	0
258713	954	0
258717	943	0
259162	948	0
404222	924	0
258716	948	0
258715	1050	0
258302	1046	0
20739	8405	0
258710	1088	0
66289	803	0
258238	930	0
258709	1010	0
258756	955	0
546747	978	0
54418	6442	5
23893	3745	2
24012	2487	51
14194	1632	1660
98256	2498	1
13603	1721	65
12663	6117	933
75820	3817	1
26909	5506	130
319455	3894	13
545389	6930	534
723921	99	0
76816	2619	502
15365	1510	21
23797	4735	1367
30928	5106	1703
75589	698	2
69428	749	91
11566	2553	8620
631584	2790	0
545391	1663	9
78825	4214	1784
791357	1199	31
75164	651	0
666295	875	1682
320110	427	11
66359	448	770
51810	3670	18579
68226	2539	116
269152	7406	50
69726	3769	338
15278	2448	323
226744	4545	2120
109232	1922	532
226747	8831	5653
100503705	1428	0
226751	8656	810
67426	4076	1499
19165	2084	463
277333	3581	39
320404	5101	2963
381310	6557	0
11545	3827	2864
72568	3377	407
27217	2294	0
170760	3471	2238
100504581	591	2
15078	1076	801
208768	3189	1836
100504598	177	2
320202	2462	0
100862334	599	0
69051	1599	597
13590	1604	13
208795	3239	3836
13849	1665	11361
619326	1898	2
67459	3060	1424
98417	3268	934
226757	7047	9545
329307	2505	1
72978	2727	9
403180	1819	5
240960	13996	16
98386	3552	2660
433384	1343	0
13800	4288	2352
27058	1388	687
625823	921	0
13244	2005	2579
67330	686	0
67948	4913	1912
209456	4370	3169
12334	3185	8591
170725	3705	1
433386	2055	0
96935	2035	555
53791	3199	287
68897	5030	617
71678	3456	1450
108909	3293	778
338366	6678	5799
21339	2386	699
78772	2736	11
73363	967	25
63953	2712	1195
73590	778	1
74971	1722	0
15284	2149	11
66112	2161	1
67247	1883	1715
100316821	82	0
226777	2853	2
226778	4565	395
98732	6988	1918
100217449	113	3
381314	3540	3019
387189	67	3
387211	112	3
23827	2182	1120
107508	4850	4821
319562	3406	1
100039138	2761	0
226781	5836	0
114668	709	0
226791	1577	150
21808	4725	276
67223	1213	531
110957	3212	2
74717	1645	6
69308	823	0
67769	4565	987
100862400	1119	90
26381	5580	8
320272	2212	0
22283	15891	0
226823	3703	1980
16526	3959	41
100042424	516	620
100039307	642	1
108000	11130	1036
19250	10746	10188
226830	1605	891
19130	4139	15
100504619	832	0
320119	3995	796
52477	3349	1830
226841	4190	2
226844	4087	2658
100125339	1649	11
75558	428	8
68972	1258	281
381318	2973	69
381319	712	9
619288	2234	922
11910	1977	107748
100504360	568	24
100861628	406	0
66208	658	128
66950	4204	376
226849	3082	1307
100504379	2421	0
76843	4202	247
77065	3252	1254
226856	7246	2640
18005	3197	352
98736	4362	17
22782	5230	1003
74023	3720	2
22033	2102	309
100628582	81	1
100042625	720	1157
214742	1597	863
100038712	2612	184
16510	7143	930
226861	2835	206
320952	2041	1
73455	404	4
214791	3401	2367
100503471	624	191
329324	1731	0
215193	5548	772
54139	4125	12985
319266	3834	360
215243	2121	4
15483	1446	3
14373	843	0
100503531	873	0
16780	4055	20013
215303	2453	60
387201	68	1
74942	578	0
18845	11036	1175
100628615	64	0
12490	2621	4
320400	2491	0
320977	5195	60
723963	81	0
387224	88	0
17221	1213	30
12946	1662	1441
12902	6207	1
215728	2801	0
619314	1938	0
670558	2817	415
76142	2524	2024
70337	1540	5
213783	7415	1021
270685	4332	274
83397	6247	239
381990	3227	1060
66084	1849	303
73419	2290	359
100504234	2151	4
13982	4319	61
64009	18115	293
68632	2777	0
22353	1527	0
67141	1807	191
108853	2621	359
56533	8191	180
100041224	522	0
18390	2639	0
320495	8240	62
215748	3448	1529
77777	1819	37
237253	3403	100
18537	1917	1406
320642	1253	23
69912	1290	265
407824	2188	55
16798	7215	4068
23924	1775	1424
215751	1557	1571
100503695	916	9
67418	2896	1836
237256	4093	54
100628581	94	0
68652	4278	5365
338362	4284	24
70097	7183	3835
791352	3151	0
320825	2495	265
620417	2980	0
78808	9074	2017
215772	5218	5
67844	2054	308
382450	3785	1
14816	6990	0
78056	444	0
268281	9293	1336
71865	5114	921
13853	1079	56
22288	12382	3971
320273	1182	20
74732	2396	81
66125	734	872
22634	5260	3190
100862331	414	0
75122	1053	0
353258	1769	1431
215789	8913	6425
66848	3954	3692
56535	2405	693
66757	1453	154
66253	1054	530
15273	9768	3582
100504211	3928	31
215798	6505	1131
100039571	514	99
66201	1325	963
69412	910	0
76743	1477	0
18101	1173	1
100504235	3401	0
17684	1969	2431
378431	4457	26
380629	3667	2452
73112	810	1099
19707	2618	2368
100045792	2900	8
215814	1166	180
215819	7638	850
56016	1910	454
215821	8216	24
237300	2355	0
73968	2928	2
64058	1901	28411
21929	4595	3659
100504265	6220	0
94222	2066	1
15979	2099	2082
237310	2468	0
237313	2088	14
76157	2629	3
18634	1894	1142
26408	5393	4347
17761	3895	4178
73811	629	1
621697	592	227
72567	5454	5771
71804	2307	76
29863	4127	11
52906	5094	443
100038717	3304	0
100504283	1667	0
17863	3777	1324
56422	4893	1364
73990	1016	11
237320	2243	2
76924	485	0
67692	1061	0
432436	2206	2
20393	4158	25579
114671	1771	0
319887	2292	78
379043	1274	206
667281	952	37
606736	4515	8
56554	1271	13
100038752	4548	0
353169	3762	242
237336	2875	1085
100504411	1274	0
100038582	2198	0
21412	1239	0
14051	4099	1642
20042	518	383
100529074	105	53
100529075	68	78
76306	2837	730
26464	1811	47
22361	2416	103
111174	999	0
209512	1020	0
493809	1032	0
209513	1044	0
215854	1014	0
215855	1038	0
215856	1077	0
209517	1077	0
435206	1077	0
276742	1077	0
435207	1077	0
215859	1035	0
382348	1035	0
494546	1109	0
503558	1047	0
53331	2500	1908
100862153	747	1
59012	3083	101
14219	2403	9907
18605	3224	1057
209558	2815	78
70208	4946	1771
11846	1477	51
432442	3123	453
13822	4464	2065
100504474	674	0
73803	865	0
215866	1543	0
77220	4115	0
100040851	1193	0
268288	3554	1
237339	3411	826
667572	1206	0
73910	3616	814
16773	9713	7
100040961	485	19
19272	6177	4761
210757	3981	1
100504516	4347	0
114676	1545	23
67719	1319	0
67412	3948	3
212448	5644	0
52665	3180	240
68031	4404	1546
72780	2397	121
100504540	2648	0
66311	1512	47
73681	2359	447
100504586	3440	462
66847	696	236
211329	5338	706
15214	2532	18
69692	718	241
21987	1267	83
100041294	710	347
268291	2860	768
432450	3745	0
76757	4514	0
442820	1844	0
100862254	809	0
215890	2500	0
215895	882	0
57430	1096	0
212892	3650	42
72580	2364	564
414093	7840	19
66521	1082	222
692132	1185	0
270711	3714	0
103511	1786	6
215900	1082	11
212898	4225	1606
22110	2696	1982
72480	3900	103
319638	2716	1011
12813	3130	1
14302	4805	812
100041585	3201	138
319415	3098	0
15182	2004	2739
17118	4186	1578
215919	1054	0
16775	6046	20
66337	730	60
71924	2929	109
327743	1418	9
14360	3692	33
100504626	1313	1
103213	2867	1784
327744	1664	88
19714	10666	3341
100504659	947	0
213332	781	33
75299	2400	4
72045	2285	2
100041085	1782	36
215928	5981	1
215929	2679	3
72472	6556	127
67239	1890	522
67371	1020	664
19850	104	3
11702	3206	1430
78334	5807	2893
70840	2243	0
70503	3000	112
327747	1529	5
71713	3366	1519
83767	2550	3
100504721	508	11
140741	1092	0
103199	3263	827
633979	5640	23
268294	2831	671
171580	3563	265
20598	1602	926
73075	1070	271
53599	2830	12928
