GeneID	Length	Ngfr-N-3
226422	1189	274
98415	6096	2189
212980	3426	4825
13714	3671	739
213006	4853	1171
18557	3046	1018
723818	97	0
213409	958	160
213417	4269	1213
74137	3132	1541
68875	3410	138
213452	6385	1501
213464	3632	1118
74626	1742	104
21367	9535	1
269116	10379	116
100038653	1879	0
16980	3346	9
17248	3490	1890
240752	7929	1337
108954	5588	4639
240753	7457	5157
100502933	3112	38
68338	1842	11
280287	496	0
19701	1423	0
214253	2279	15
20668	3531	1122
20643	492	625
70579	4395	4754
667118	5007	2372
240754	2371	19
381290	8292	194
269120	2074	1
116847	3602	56
100502984	884	0
14264	2859	14
100502999	532	25
12227	3083	34334
667414	432	2
71884	1711	12
12654	1689	429
53311	1829	1
11539	5786	14
17928	1480	0
68507	6067	55
57439	3169	2180
240755	1770	0
72017	1626	545
72674	2024	4458
100861791	590	0
240756	3196	735
98710	1960	722
100503055	641	21
71001	1457	0
75605	6300	3792
20980	3386	9
329251	6185	231
67196	1079	93
329252	3623	6246
13924	6089	7
100038590	915	0
320139	3264	24
68724	1702	1439
171469	2253	4
13710	2000	12448
215615	2301	4012
21854	917	723
93689	3942	10
77552	1190	51
226432	6236	1677
215690	12767	245
13007	1770	8258
27280	1467	734
21952	1114	7
16763	2992	3422
21956	1194	32
18772	4486	1284
226438	8996	0
66241	1750	1617
12292	6260	10
329253	508	0
16565	9119	623
76422	2922	27
67313	3013	1510
100042513	584	0
383563	1960	0
67886	7823	8117
320054	2097	27
67997	2228	361
381293	8770	85
71084	1846	2
226442	5275	1197
100503460	489	27
100503474	1199	6
667686	385	2
26424	3857	0
320138	3023	1
735252	87	0
723890	80	0
19264	5664	248
338375	1887	0
59125	3366	7301
545363	1930	0
16876	5750	0
69549	571	85
75546	410	0
329260	8314	1101
170788	4702	20
71209	1111	0
226470	8362	1009
12316	9866	235
14060	2378	0
50702	1732	1
624286	999	1
214403	2887	2
545366	1602	3
12628	4365	2615
240776	3957	0
75910	551	0
226472	591	0
214498	2678	1637
26878	4578	3341
69367	3730	707
20822	8721	2332
56207	1851	523
19735	3009	1150
100861894	494	0
246709	1497	101
50778	1330	352
624910	459	3
64214	1859	2
215378	3172	0
100043240	3910	1
791353	1179	0
100503781	490	0
18783	2846	1526
320019	1098	2
19225	4150	3626
100043257	532	697
100043261	345	0
20028	1247	1
75584	610	0
226499	3242	1563
108989	7550	6452
96875	4278	62
545370	18316	80
402734	2640	13
73176	1674	0
117198	5037	6362
66875	3668	1076
98685	2665	1180
19821	3028	1303
100503012	373	232
63913	3939	995
66967	6604	3413
69399	9754	500
66637	1133	168
269132	4056	2
19731	3887	134
100861876	505	9
71281	1566	13
67771	1897	3192
100503084	519	1
17970	2596	67
226517	6069	2743
226518	4523	16
16782	5164	2799
226519	7622	2478
626058	2827	1
71836	2045	1
13211	4613	5465
74091	1403	22
67792	5804	4
329271	3337	0
19734	2335	17
24014	4758	347
240816	3640	4
240817	1654	1
433365	2527	0
240819	1415	0
14645	2782	11255
100861882	573	0
207678	1877	0
78112	613	0
12290	12697	4
15939	3270	3602
15064	2509	853
58244	2459	1192
207792	4611	5
100503411	2791	0
19775	7651	2448
433367	1751	0
72482	1942	743
16872	1853	0
100861926	688	0
104009	3361	21979
74081	13307	4483
208263	4439	3051
240832	8112	5232
329274	3687	0
214575	3443	12
170484	3108	2
77352	3297	7
20652	4785	1085
11352	10714	2153
30935	3268	1448
100503836	636	0
215015	4238	3167
78255	7133	470
72713	2190	8
73435	898	0
226525	10046	732
69953	1194	128
226527	1289	386
89867	4651	10
100504090	420	0
240843	4101	10
11899	7224	10
735253	109	0
23850	8585	42
72025	2475	0
26374	5056	785
100217414	118	4
21960	5395	9
67647	5391	1137
75255	887	29
329278	5812	21
64659	1970	813
12301	2115	1511
29809	9489	2468
100316784	109	0
620246	1086	1
620750	465	5
381305	11011	2713
11905	2162	8
240869	3883	192
14455	2554	3370
100628588	91	0
100217446	65	19
226539	3581	342
70454	4327	100
226541	4037	286
73844	3723	69
100502590	954	3
11758	2334	57411
22164	1609	0
240873	2064	0
14103	1935	10
226551	6308	3782
75368	1164	0
67292	3301	648
103967	7523	85
72753	919	1
474332	7928	3
723821	110	0
387210	110	0
71449	2791	342
53330	2532	363
17926	2080	32
100038657	741	0
226562	10444	8295
226564	1787	35
14261	2326	1251
55990	3336	14327
226565	1870	5732
14262	2010	45080
78258	2956	4
18933	7448	30
98376	2509	350
240879	1053	0
16579	3907	1348
240880	4069	1012
381306	2912	87
69962	1457	234
20339	2912	1
20343	2321	2
20344	3438	2
100503816	1241	1
14067	7406	3634
116914	3546	361
74895	1896	1122
66352	4035	1073
171567	3011	1234
11931	2422	35784
56429	1636	77
433374	1588	6
16963	502	22
69476	357	0
75857	998	0
83993	2662	0
108735	5526	2309
226591	4395	861
240888	1943	1
74106	3306	2141
70456	854	1314
271639	5209	0
68481	2356	436
100503268	612	0
226594	2670	55
100503283	1514	0
433375	2125	1296
12503	4604	30
18986	13123	840
240892	4025	0
59290	2293	11
98558	1546	1
100039795	8260	95
100503318	2514	12
27878	2145	561
71592	7372	651
226601	1744	0
226604	3012	0
240894	3065	0
100503962	936	0
226610	4986	16
80914	1338	789
68944	4474	1199
100862084	376	0
56752	2833	1044
66447	635	801
240899	1137	0
100503977	287	0
20183	2363	3
110648	3338	0
18514	9027	7585
66977	2405	104
19737	1809	4
100862094	1412	1
19736	2941	0
78465	1440	374
15490	4574	369
67303	1135	11
18214	8290	96
107652	2283	4137
16589	2024	646
545378	399	0
622708	1691	2
26904	1433	7
665574	3833	1214
76925	713	11
70729	3684	442
320078	3095	520
226641	7463	2799
80915	1374	268
435653	1284	0
98752	1727	14
14130	1547	14
246256	1250	4
14131	1353	13
75472	1034	663
66052	1179	2355
17528	1993	56
66425	1575	188
12355	1414	2
641376	2920	617
11807	521	16
14127	658	41
226646	1606	3237
240913	3673	2
57370	1998	2084
19044	1821	1196
30941	2185	1082
66155	964	1086
100862110	308	0
100504072	1662	2
21945	2733	1231
27045	1374	945
18637	622	736
68874	1555	247
71740	3504	2240
226652	4488	80
22278	1822	929
226654	551	703
16456	2482	5455
56009	1273	167
16429	1140	783
18106	3758	28
17085	2449	13
75345	3977	38
12506	1142	29
100041098	195	281
27218	2688	2
12523	6253	23
100038548	2574	2
100862186	671	0
30925	2443	2
93840	2260	152
18071	2487	0
59287	2855	3660
12847	4629	9654
100504176	730	0
19298	3131	1519
98193	3743	4850
18611	2477	907
12372	1874	6
27222	3485	1
98660	6227	168
140559	2234	1094
16524	3270	0
16513	5407	66
67556	7569	619
100862199	620	0
98365	1145	34
93842	4249	609
21346	1382	4316
71870	1822	507
71319	941	85
240916	1879	43
74748	2040	5
677296	1914	2
68440	1417	277
100040320	811	1
12944	1698	1
20219	984	0
18313	1050	0
258759	933	0
258758	1063	0
258880	942	0
258881	1034	0
14125	1026	0
258645	991	0
100504232	694	0
13349	1158	1
94332	4159	6
383619	2541	17
240921	2951	3
545384	1294	2
623121	2680	2
236312	3497	24
100033459	2987	8
100504251	716	0
226691	3484	34
15951	2296	29
100504287	1468	11
666028	634	8
100040462	1908	89
381308	1651	11
15950	3793	57
26388	1796	578
226695	1613	18
258712	1004	0
258711	939	0
258713	954	0
258717	943	0
259162	948	0
404222	924	0
258716	948	1
258715	1050	0
258302	1046	0
20739	8405	0
258710	1088	0
66289	803	0
258238	930	0
258709	1010	0
258756	955	0
546747	978	0
54418	6442	22
23893	3745	9
24012	2487	12
14194	1632	2086
98256	2498	8
13603	1721	57
12663	6117	476
75820	3817	0
26909	5506	57
319455	3894	18
545389	6930	302
723921	99	1
76816	2619	464
15365	1510	19
23797	4735	783
30928	5106	1585
75589	698	1
69428	749	101
11566	2553	5888
631584	2790	0
545391	1663	37
78825	4214	1161
791357	1199	11
75164	651	0
666295	875	1155
320110	427	9
66359	448	759
51810	3670	12672
68226	2539	169
269152	7406	129
69726	3769	406
15278	2448	241
226744	4545	1608
109232	1922	498
226747	8831	3197
100503705	1428	0
226751	8656	571
67426	4076	423
19165	2084	495
277333	3581	64
320404	5101	1518
381310	6557	0
11545	3827	2309
72568	3377	190
27217	2294	0
170760	3471	2934
100504581	591	0
15078	1076	730
208768	3189	1322
100504598	177	3
320202	2462	0
100862334	599	0
69051	1599	592
13590	1604	48
208795	3239	4411
13849	1665	9376
619326	1898	12
67459	3060	890
98417	3268	564
226757	7047	6817
329307	2505	0
72978	2727	10
403180	1819	94
240960	13996	16
98386	3552	1612
433384	1343	0
13800	4288	1771
27058	1388	836
625823	921	0
13244	2005	2182
67330	686	1
67948	4913	1504
209456	4370	3155
12334	3185	6089
170725	3705	49
433386	2055	0
96935	2035	324
53791	3199	461
68897	5030	522
71678	3456	1024
108909	3293	437
338366	6678	9066
21339	2386	597
78772	2736	4
73363	967	19
63953	2712	432
73590	778	0
74971	1722	0
15284	2149	6
66112	2161	0
67247	1883	1660
100316821	82	0
226777	2853	11
226778	4565	95
98732	6988	1641
100217449	113	0
381314	3540	2579
387189	67	2
387211	112	1
23827	2182	1452
107508	4850	4852
319562	3406	1
100039138	2761	0
226781	5836	1
114668	709	0
226791	1577	341
21808	4725	288
67223	1213	315
110957	3212	7
74717	1645	60
69308	823	0
67769	4565	851
100862400	1119	59
26381	5580	140
320272	2212	0
22283	15891	0
226823	3703	1488
16526	3959	600
100042424	516	522
100039307	642	10
108000	11130	459
19250	10746	3541
226830	1605	403
19130	4139	67
100504619	832	2
320119	3995	513
52477	3349	1501
226841	4190	2
226844	4087	1297
100125339	1649	2
75558	428	3
68972	1258	225
381318	2973	24
381319	712	4
619288	2234	508
11910	1977	56337
100504360	568	70
100861628	406	0
66208	658	86
66950	4204	259
226849	3082	787
100504379	2421	0
76843	4202	168
77065	3252	944
226856	7246	4818
18005	3197	558
98736	4362	12
22782	5230	1016
74023	3720	59
22033	2102	201
100628582	81	1
100042625	720	2391
214742	1597	461
100038712	2612	135
16510	7143	100
226861	2835	77
320952	2041	0
73455	404	2
214791	3401	406
100503471	624	32
329324	1731	2
215193	5548	521
54139	4125	4557
319266	3834	234
215243	2121	14
15483	1446	16
14373	843	0
100503531	873	0
16780	4055	2724
215303	2453	6
387201	68	0
74942	578	0
18845	11036	398
100628615	64	0
12490	2621	41
320400	2491	11
320977	5195	131
723963	81	0
387224	88	0
17221	1213	30
12946	1662	1518
12902	6207	0
215728	2801	0
619314	1938	0
670558	2817	102
76142	2524	626
70337	1540	54
213783	7415	821
270685	4332	180
83397	6247	72
381990	3227	804
66084	1849	237
73419	2290	311
100504234	2151	165
13982	4319	120
64009	18115	490
68632	2777	1
22353	1527	0
67141	1807	67
108853	2621	261
56533	8191	23
100041224	522	1
18390	2639	0
320495	8240	51
215748	3448	1214
77777	1819	15
237253	3403	299
18537	1917	1246
320642	1253	23
69912	1290	188
407824	2188	46
16798	7215	2860
23924	1775	1280
215751	1557	1460
100503695	916	4
67418	2896	1367
237256	4093	22
100628581	94	0
68652	4278	3660
338362	4284	27
70097	7183	2406
791352	3151	0
320825	2495	235
620417	2980	0
78808	9074	1296
215772	5218	457
67844	2054	374
382450	3785	0
14816	6990	0
78056	444	0
268281	9293	1089
71865	5114	649
13853	1079	42
22288	12382	1984
320273	1182	4
74732	2396	15
66125	734	924
22634	5260	2123
100862331	414	0
75122	1053	0
353258	1769	1038
215789	8913	2762
66848	3954	3976
56535	2405	658
66757	1453	88
66253	1054	731
15273	9768	2105
100504211	3928	12
215798	6505	321
100039571	514	27
66201	1325	980
69412	910	0
76743	1477	0
18101	1173	0
100504235	3401	0
17684	1969	3532
378431	4457	44
380629	3667	1226
73112	810	818
19707	2618	1652
100045792	2900	107
215814	1166	157
215819	7638	1001
56016	1910	501
215821	8216	413
237300	2355	1
73968	2928	60
64058	1901	9044
21929	4595	3326
100504265	6220	0
94222	2066	14
15979	2099	1398
237310	2468	3
237313	2088	3
76157	2629	74
18634	1894	1297
26408	5393	2597
17761	3895	5478
73811	629	2
621697	592	185
72567	5454	4855
71804	2307	25
29863	4127	7
52906	5094	364
100038717	3304	1
100504283	1667	4
17863	3777	1602
56422	4893	1225
73990	1016	1
237320	2243	0
76924	485	0
67692	1061	0
432436	2206	6
20393	4158	19676
114671	1771	0
319887	2292	39
379043	1274	84
667281	952	6
606736	4515	6
56554	1271	4
100038752	4548	0
353169	3762	680
237336	2875	1053
100504411	1274	0
100038582	2198	0
21412	1239	0
14051	4099	2562
20042	518	157
100529074	105	20
100529075	68	28
76306	2837	682
26464	1811	340
22361	2416	112
111174	999	0
209512	1020	2
493809	1032	0
209513	1044	1
215854	1014	0
215855	1038	0
215856	1077	0
209517	1077	0
435206	1077	0
276742	1077	0
435207	1077	0
215859	1035	0
382348	1035	0
494546	1109	0
503558	1047	0
53331	2500	1608
100862153	747	0
59012	3083	123
14219	2403	13019
18605	3224	330
209558	2815	258
70208	4946	1112
11846	1477	140
432442	3123	249
13822	4464	364
100504474	674	0
73803	865	0
215866	1543	0
77220	4115	3
100040851	1193	0
268288	3554	5
237339	3411	476
667572	1206	0
73910	3616	740
16773	9713	43
100040961	485	15
19272	6177	4969
210757	3981	22
100504516	4347	2
114676	1545	19
67719	1319	2
67412	3948	14
212448	5644	11
52665	3180	247
68031	4404	1255
72780	2397	53
100504540	2648	0
66311	1512	39
73681	2359	372
100504586	3440	643
66847	696	321
211329	5338	516
15214	2532	17
69692	718	267
21987	1267	172
100041294	710	342
268291	2860	349
432450	3745	0
76757	4514	0
442820	1844	0
100862254	809	0
215890	2500	0
215895	882	0
57430	1096	0
212892	3650	611
72580	2364	516
414093	7840	12
66521	1082	171
692132	1185	0
270711	3714	0
103511	1786	10
215900	1082	16
212898	4225	516
22110	2696	2118
72480	3900	443
319638	2716	1215
12813	3130	4
14302	4805	1130
100041585	3201	125
319415	3098	0
15182	2004	2226
17118	4186	517
215919	1054	0
16775	6046	148
66337	730	126
71924	2929	123
327743	1418	17
14360	3692	92
100504626	1313	5
103213	2867	1447
327744	1664	52
19714	10666	2457
100504659	947	2
213332	781	44
75299	2400	26
72045	2285	7
100041085	1782	53
215928	5981	10
215929	2679	31
72472	6556	267
67239	1890	407
67371	1020	649
19850	104	5
11702	3206	1160
78334	5807	2272
70840	2243	0
70503	3000	512
327747	1529	16
71713	3366	1305
83767	2550	23
100504721	508	11
140741	1092	2
103199	3263	768
633979	5640	260
268294	2831	521
171580	3563	106
20598	1602	776
73075	1070	337
53599	2830	18446
75973	2749	381
70538	617	1
629461	2137	130
100628609	55	0
103268	2392	139
