GeneID	Length	CD24-H-5
666642	647	0
17974	2775	584
100861934	1421	1
78896	888	101
67883	1263	241
100503192	585	80
22019	4649	927
433294	1086	0
75623	1265	125
72050	2324	261
246229	3571	210
22592	4010	254
100861960	766	0
403183	3181	0
70676	2976	47
75066	906	0
12825	5564	703
12832	6615	117
73674	2612	221
433297	641	286
53945	3380	23
100042453	717	1
212225	3483	2
227058	12318	1967
100101919	12384	1663
227059	4961	757
442837	542	0
56363	3339	24
442821	2552	3
20324	3055	1987
109019	2838	552
100045066	3051	8
17912	5042	2030
20849	2981	27
100042634	432	1
20846	5356	786
14660	7488	1418
17936	5088	1131
227094	3394	180
98682	5591	1914
16329	1776	178
227095	1704	373
67080	834	1
17700	2682	0
69397	627	0
227099	3032	29
227102	1846	166
72085	2283	102
70396	2362	233
627872	12272	1376
98267	3278	291
329152	11336	101
78016	3807	1088
98488	3005	213
241062	10579	64
329154	6140	2502
81898	6192	4181
67876	1733	837
15510	2332	1569
15528	768	447
19070	2826	446
74013	3677	32
212679	2882	99
75388	1258	2
227120	6555	19
626009	1369	30
329159	1906	0
71066	1408	0
212712	5286	17
329160	3728	6
407809	3304	0
75323	2052	1
73467	3008	115
68736	1442	225
68115	1325	196
67198	4045	259
51960	2733	211
68549	5416	28
11761	4382	2135
71724	4360	1427
71872	4973	0
213043	4776	2
66882	2833	1830
12747	3088	3460
70225	1630	256
65102	2105	167
18393	3371	314
100504455	2126	11
213056	8695	410
66495	532	599
100504501	936	9
108812	1579	39
12633	7814	661
12370	2777	303
70827	6240	405
227154	2318	184
73463	2131	2
381259	1972	724
227157	3087	9
74018	7038	256
271697	1477	0
14369	4809	169
381260	3595	2249
22218	1215	553
55989	1976	620
100217459	53	1
100217421	63	0
12168	3507	397
100504533	314	134
72750	5532	653
70375	3650	127
57750	3376	72
241066	2604	138
100504573	431	2
269198	12108	987
77951	1501	257
329165	5974	472
77300	9117	810
100043027	207	2
100042533	791	3
12487	4317	7
100504618	845	0
12477	1931	2
54167	3254	3
77341	892	0
72823	8392	378
18187	8122	52
74992	895	1
227195	13529	1110
100380944	1802	38
100504668	1301	18
227197	2927	790
55949	1933	1528
100217464	113	16
241070	1606	0
73884	12621	116
23792	6879	11
241073	2427	68
76668	1711	939
75619	3205	176
74426	1756	2
433315	1432	0
93691	1344	108
12912	8421	773
67099	2666	159
69941	713	3
227210	2927	132
14367	6914	576
241075	8562	559
70861	1353	0
667276	1020	0
12968	642	0
12967	635	0
12966	612	0
12965	605	0
12964	615	0
98303	2180	1
15926	2438	569
18711	11255	363
213527	2414	0
12969	622	0
17756	5520	104
100038569	1663	0
329178	13533	1
66646	2630	278
68691	4760	539
11363	1892	1328
100862127	515	1
17901	1111	0
14768	4461	339
227231	4704	0
13869	4257	0
100502712	2069	0
22779	9424	263
66722	2270	1122
320460	4655	0
12021	5448	6
74591	8323	1
108147	2611	714
14268	8312	447
100042814	1193	0
667931	1019	0
71134	1093	0
433319	483	0
381269	2493	58
111175	1186	19
271711	2815	0
22596	2556	546
381270	4187	1535
54380	6715	556
319695	4573	0
19981	588	279
16008	1330	1000
16011	5854	18379
21958	427	0
69449	571	0
723792	1560	1
78718	551	0
109198	1801	0
21961	9966	1118
435626	2336	2
100862357	817	1
12765	3043	1
227288	1125	1
100316687	67	0
76709	1597	2175
227289	990	0
227290	1820	1760
56695	3501	508
69660	2309	1210
241112	2101	3345
18173	2304	46
227292	2776	758
387219	85	1
22349	3117	5
319651	7196	928
58184	3266	554
18802	3121	4
77264	7472	187
66821	1829	49
57751	1475	338
269209	5235	2946
67534	4253	1141
104086	1890	23
241113	2832	2
22420	2068	0
22409	1962	0
12570	2704	0
260298	1479	0
12958	702	5
723900	64	0
241116	5718	19243
16147	2444	48
75570	860	71
22626	2059	27
69171	2738	1005
227298	2557	1189
68818	1299	270
74104	2934	919
245860	3764	560
52231	2764	371
74577	3451	657
20872	2885	684
22145	2053	576
381272	767	2
56812	3203	3421
19275	3535	37
19711	710	5
13437	1946	431
13346	2150	112
100503248	676	0
11790	11933	28
69080	1528	273
100862164	449	0
241118	2650	1
74241	3235	716
319998	2185	86
98733	5770	361
16322	1463	228
71728	4458	1866
20536	4441	755
100862333	771	0
620079	2188	0
13838	6328	43
18505	3868	0
100039210	1208	0
433323	3998	12
23874	2132	367
68393	1206	3
74205	3950	4343
195434	3981	349
57814	2463	10
20254	2485	4
100862182	832	0
252903	2876	26
69368	4714	743
100038695	1791	0
69163	1424	233
100862198	480	1
20720	2055	1984
241128	2862	7
26554	2764	2196
72208	394	0
210293	7303	27
241134	4919	0
16367	9163	168
100503073	3039	1
76867	3757	702
100503095	2833	2
12829	7808	68
12828	8609	80
75734	1866	940
66261	1503	0
100044526	654	0
15463	3137	646
80721	2974	21
71386	992	0
20297	802	7
71227	1670	1310
77629	6512	0
98496	2667	38
227325	3632	36
100628595	77	0
14897	9632	2455
66153	900	1401
71781	2349	0
100503433	891	0
381287	1760	0
621875	1334	3
100040135	1348	0
665378	1621	0
620078	1971	14
100040213	891	0
100039794	1073	0
665338	891	0
109032	1971	88
434484	2417	80
100503502	852	0
100503045	659	0
20684	2158	224
319997	1936	32
12283	3800	2885
64294	2024	1698
71141	1148	2
227326	2550	3
70060	1602	2
72792	3331	10
70247	3256	1475
15559	2072	3
78795	5258	814
100861644	653	7
227327	2595	180
383538	483	1
17975	8257	4017
100303740	116	8
80828	68	0
319336	1266	12
14767	1218	0
71863	1721	30
19231	1192	3342
18582	1092	372
26895	2231	294
18159	1042	1
208718	3171	510
11650	2113	0
76768	2337	0
11648	1680	0
13599	2698	0
69453	1999	0
11447	2910	0
11449	1921	0
26987	4928	509
98363	1805	26
227331	5743	657
100040591	1349	571
73234	462	1
53972	3384	814
319977	1676	4
620454	1602	2
23956	2018	59
16331	4938	69
77040	3180	457
100217415	248	3
20215	1718	46
100503175	947	1
227333	5694	1048
227334	5316	549
394430	3242	0
394434	3216	0
394432	3294	4
394435	2293	141
94284	3302	665
394433	3208	0
22236	3206	2
15504	1017	10
394436	3229	10
100040766	7526	15
381280	8439	40
78605	3662	0
171382	3844	0
75396	870	10
14659	1957	3
100503197	2622	32
320982	3967	1465
78650	476	0
73475	603	0
98402	3673	729
77331	591	0
347722	9581	330
74403	3611	0
14472	2126	0
208372	1404	0
74918	3210	3528
12778	2579	74
108679	1843	759
433332	1207	0
12835	10841	224
171531	4484	223
623503	261	0
19329	1950	13
16978	5743	2143
329207	3851	0
51801	3022	198
67921	1363	342
665783	892	60
50880	2207	111
227357	5442	116
100503326	684	0
70788	3020	2
227358	2815	20
67444	1368	980
67086	547	44
55927	1335	1619
18627	5837	1612
74019	3500	9201
65247	6072	982
13345	1312	4
208727	3960	161
67273	1220	599
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	0
66915	711	424
260301	704	0
14733	3552	133
100504295	543	0
387167	66	0
241158	3243	324
67446	1491	150
108657	3039	1090
100037260	1689	6
23830	2877	689
64095	4396	51
208760	1088	0
16560	8257	1870
11611	1517	5
71874	2362	1656
381284	7348	3051
208777	4474	2269
69821	3315	2754
269224	5119	215
66385	3653	587
404545	3217	5
110611	6238	3934
18000	3335	1948
227377	3912	124
59041	3254	2393
51800	1432	2085
67026	2160	343
66615	2964	437
21915	1310	348
66262	4539	334
98314	3058	222
381334	2846	1
100041596	1185	0
666009	570	4
619597	4059	0
241159	4511	0
18566	1930	0
74689	1565	0
67698	2107	928
20452	5677	48
75381	761	0
100504401	921	0
73454	356	0
75159	583	0
227394	2394	91
329217	3849	153
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	3
52392	2738	1345
227399	5565	396
252876	2041	143
18484	4103	1143
78603	1178	9
69030	1687	0
70866	2328	0
100504494	800	19
241175	5120	0
100504525	886	0
23836	3722	0
320311	8529	55
100504568	1284	0
27392	6777	493
227446	5406	622
100042023	231	20
21934	5022	63
635504	465	4
227449	6661	342
626049	545	1
98432	6104	416
12043	7749	102
320761	1243	0
70750	5582	319
20479	3272	939
20724	2565	1
71869	1735	1
241196	1607	0
20248	1629	0
394252	1164	0
383548	1632	0
381286	1659	0
66957	1699	1
116872	1887	0
18788	2047	0
241197	3490	3
20725	3289	30
241201	3353	0
227485	3054	0
319901	5763	201
636808	3915	0
634762	729	0
22099	3040	894
67949	1894	180
76707	7899	594
68204	597	10
81879	9270	278
14633	6708	10
16324	4255	1469
100502628	748	0
64143	2277	399
226351	2830	80
226352	7746	2092
19258	4707	173
66343	3301	115
226356	2511	1163
319229	1924	0
170706	1017	10
13167	745	947
73103	1089	42
68428	3177	19
226359	2000	0
17167	1985	15
13798	2554	0
98452	1580	0
72999	2524	899
70829	7256	211
15564	2019	0
66942	2249	123
100502702	453	0
269109	4630	0
74117	2746	1767
74150	2597	1451
71111	2690	133
72585	2047	3
210356	7593	266
107895	3104	387
667090	484	20
72160	2517	14
266645	2303	0
100502745	464	1
72949	3514	622
22625	3936	1024
226407	4251	777
226409	4154	22
226412	4812	418
387147	70	0
67812	4093	1724
226413	6166	7
17219	2901	256
226414	2509	844
12767	1814	124
210417	6253	1
100042740	613	6
13137	1324	124
13136	2527	5664
22789	2034	0
12269	1883	0
12270	754	34
18640	9621	1972
226418	3843	326
212439	2909	326
64435	1911	114
100502856	1065	67
18703	3849	1100
69169	1491	6
93672	1116	2
58181	824	0
329244	1023	0
16153	1306	0
17164	2567	1450
226419	2072	675
16865	2290	779
54354	3405	62
56489	3203	872
14270	8040	1290
108900	2105	66
26361	4148	0
13034	2120	3
226421	2523	10
320718	3640	297
212933	3540	37
98396	4660	892
226422	1189	68
98415	6096	858
212980	3426	339
13714	3671	327
213006	4853	127
18557	3046	143
723818	97	0
213409	958	1
213417	4269	839
74137	3132	285
68875	3410	324
213452	6385	677
213464	3632	292
74626	1742	41
21367	9535	0
269116	10379	0
100038653	1879	0
16980	3346	2
17248	3490	1022
240752	7929	696
108954	5588	1947
240753	7457	994
100502933	3112	131
68338	1842	427
280287	496	60
19701	1423	0
214253	2279	33
20668	3531	636
20643	492	281
70579	4395	2774
667118	5007	758
240754	2371	8
381290	8292	359
269120	2074	2
116847	3602	355
100502984	884	0
14264	2859	9
100502999	532	37
12227	3083	16098
667414	432	0
71884	1711	0
12654	1689	1143
53311	1829	10
11539	5786	63
17928	1480	0
68507	6067	8
57439	3169	806
240755	1770	2
72017	1626	236
72674	2024	1187
100861791	590	0
240756	3196	411
98710	1960	403
100503055	641	0
71001	1457	1
75605	6300	894
20980	3386	2
329251	6185	96
67196	1079	58
329252	3623	52
13924	6089	0
100038590	915	0
320139	3264	4
68724	1702	2116
171469	2253	6
13710	2000	3767
215615	2301	844
21854	917	399
93689	3942	37
77552	1190	88
226432	6236	587
215690	12767	127
13007	1770	5234
27280	1467	838
21952	1114	0
16763	2992	125
21956	1194	7
18772	4486	2
226438	8996	0
66241	1750	563
12292	6260	129
329253	508	0
16565	9119	106
76422	2922	3
67313	3013	165
100042513	584	0
383563	1960	0
67886	7823	510
320054	2097	38
67997	2228	180
381293	8770	5
71084	1846	0
226442	5275	388
100503460	489	18
100503474	1199	8
667686	385	1
26424	3857	3
320138	3023	0
735252	87	0
723890	80	0
19264	5664	89
338375	1887	0
59125	3366	1356
545363	1930	0
16876	5750	0
69549	571	48
75546	410	0
329260	8314	346
170788	4702	15
71209	1111	0
226470	8362	342
12316	9866	9
14060	2378	0
50702	1732	0
624286	999	0
214403	2887	0
545366	1602	0
12628	4365	324
240776	3957	0
75910	551	0
226472	591	0
214498	2678	395
26878	4578	13
69367	3730	215
20822	8721	1312
56207	1851	197
19735	3009	83
100861894	494	0
246709	1497	0
50778	1330	14
624910	459	0
64214	1859	9
215378	3172	0
100043240	3910	0
791353	1179	0
100503781	490	0
18783	2846	1217
320019	1098	6
19225	4150	1476
100043257	532	442
100043261	345	0
20028	1247	0
75584	610	0
226499	3242	560
108989	7550	2099
96875	4278	12
545370	18316	394
402734	2640	34
73176	1674	0
117198	5037	3477
66875	3668	1248
98685	2665	701
19821	3028	410
100503012	373	93
63913	3939	102
66967	6604	580
69399	9754	38
66637	1133	91
269132	4056	39
19731	3887	555
100861876	505	40
71281	1566	199
67771	1897	1332
100503084	519	1
17970	2596	34
226517	6069	959
226518	4523	18
16782	5164	746
226519	7622	652
626058	2827	0
71836	2045	1
13211	4613	1914
74091	1403	409
67792	5804	0
329271	3337	0
19734	2335	63
24014	4758	66
240816	3640	31
240817	1654	3
433365	2527	0
240819	1415	0
14645	2782	4156
100861882	573	0
207678	1877	0
78112	613	0
12290	12697	0
15939	3270	5435
15064	2509	2318
58244	2459	532
207792	4611	11
100503411	2791	0
19775	7651	702
433367	1751	0
72482	1942	314
16872	1853	0
100861926	688	0
104009	3361	2820
74081	13307	1471
208263	4439	576
240832	8112	1639
329274	3687	0
214575	3443	3
170484	3108	2
77352	3297	28
20652	4785	749
11352	10714	540
30935	3268	1335
100503836	636	0
215015	4238	656
78255	7133	644
72713	2190	1
73435	898	0
226525	10046	623
69953	1194	46
226527	1289	449
89867	4651	17
100504090	420	0
240843	4101	0
11899	7224	0
735253	109	0
23850	8585	8
72025	2475	0
26374	5056	292
100217414	118	0
21960	5395	60
67647	5391	1037
75255	887	24
329278	5812	1862
64659	1970	398
12301	2115	888
29809	9489	4918
100316784	109	0
620246	1086	1
620750	465	1
381305	11011	1037
11905	2162	8
240869	3883	60
14455	2554	1398
100628588	91	0
100217446	65	12
226539	3581	144
70454	4327	54
226541	4037	391
73844	3723	1665
100502590	954	39
11758	2334	10977
22164	1609	1
240873	2064	1
14103	1935	2
226551	6308	662
75368	1164	0
67292	3301	373
103967	7523	134
72753	919	0
474332	7928	1
723821	110	0
387210	110	0
71449	2791	108
53330	2532	173
17926	2080	3
100038657	741	0
226562	10444	2331
226564	1787	5
14261	2326	652
55990	3336	1474
226565	1870	22
14262	2010	496
78258	2956	0
18933	7448	15
98376	2509	79
240879	1053	0
16579	3907	1876
240880	4069	292
381306	2912	10
69962	1457	18
20339	2912	12
20343	2321	11
20344	3438	18
100503816	1241	3
14067	7406	19
116914	3546	147
74895	1896	4511
66352	4035	643
171567	3011	1054
11931	2422	4932
56429	1636	151
433374	1588	0
16963	502	0
69476	357	0
75857	998	0
83993	2662	0
108735	5526	1442
226591	4395	527
240888	1943	18
74106	3306	796
70456	854	484
271639	5209	3
68481	2356	1511
100503268	612	3
226594	2670	135
100503283	1514	0
433375	2125	2234
12503	4604	23
18986	13123	260
240892	4025	0
59290	2293	1
98558	1546	0
100039795	8260	12
100503318	2514	12
27878	2145	185
71592	7372	332
226601	1744	0
226604	3012	0
240894	3065	0
100503962	936	1
226610	4986	10
80914	1338	88
68944	4474	600
100862084	376	0
56752	2833	588
66447	635	1036
240899	1137	0
100503977	287	0
20183	2363	1
110648	3338	0
18514	9027	1832
66977	2405	10
19737	1809	1
100862094	1412	3
19736	2941	13
78465	1440	19
15490	4574	86
67303	1135	2
18214	8290	138
107652	2283	593
16589	2024	90
545378	399	0
622708	1691	1
26904	1433	2
665574	3833	88
76925	713	2
70729	3684	17
320078	3095	445
226641	7463	1649
80915	1374	61
435653	1284	0
98752	1727	7
14130	1547	12
246256	1250	2
14131	1353	12
75472	1034	6414
66052	1179	1080
17528	1993	19
66425	1575	4603
12355	1414	1
641376	2920	211
11807	521	4
14127	658	29
226646	1606	1058
240913	3673	9
57370	1998	720
19044	1821	1103
30941	2185	858
66155	964	442
100862110	308	0
100504072	1662	9
21945	2733	467
27045	1374	426
18637	622	600
68874	1555	361
71740	3504	886
226652	4488	29
22278	1822	445
226654	551	380
16456	2482	3191
56009	1273	43
16429	1140	2
18106	3758	3
17085	2449	5
75345	3977	5
12506	1142	7
100041098	195	158
27218	2688	0
12523	6253	8
100038548	2574	0
100862186	671	0
30925	2443	2
93840	2260	20
18071	2487	0
59287	2855	1193
12847	4629	2322
100504176	730	0
19298	3131	744
98193	3743	2050
18611	2477	686
12372	1874	4
27222	3485	0
98660	6227	147
140559	2234	762
16524	3270	2
16513	5407	3
67556	7569	639
100862199	620	0
98365	1145	7
93842	4249	291
21346	1382	5810
71870	1822	2993
71319	941	222
240916	1879	17
74748	2040	6
677296	1914	0
68440	1417	80
100040320	811	5
12944	1698	1
20219	984	0
18313	1050	0
258759	933	0
258758	1063	0
258880	942	0
258881	1034	0
14125	1026	0
258645	991	0
100504232	694	0
13349	1158	1
94332	4159	3
383619	2541	1
240921	2951	4
545384	1294	0
623121	2680	10
236312	3497	12
100033459	2987	30
100504251	716	0
226691	3484	13
15951	2296	7
100504287	1468	9
666028	634	2
100040462	1908	65
381308	1651	3
15950	3793	78
26388	1796	85
226695	1613	1
258712	1004	0
258711	939	0
258713	954	0
258717	943	0
259162	948	0
404222	924	0
258716	948	0
258715	1050	0
258302	1046	0
20739	8405	0
258710	1088	0
66289	803	0
258238	930	0
258709	1010	0
258756	955	0
546747	978	0
54418	6442	127
23893	3745	29
24012	2487	1
14194	1632	981
98256	2498	3
13603	1721	42
12663	6117	477
75820	3817	0
26909	5506	29
319455	3894	0
545389	6930	379
723921	99	0
76816	2619	1123
15365	1510	7
23797	4735	342
30928	5106	1001
75589	698	0
69428	749	22
11566	2553	2699
631584	2790	2
545391	1663	10
78825	4214	390
791357	1199	9
75164	651	0
666295	875	997
320110	427	8
66359	448	479
51810	3670	5562
68226	2539	564
269152	7406	581
69726	3769	402
15278	2448	77
226744	4545	1114
109232	1922	1561
226747	8831	1191
100503705	1428	0
226751	8656	1295
67426	4076	219
19165	2084	319
277333	3581	108
320404	5101	1637
381310	6557	5
11545	3827	687
72568	3377	45
27217	2294	0
170760	3471	733
100504581	591	0
15078	1076	375
208768	3189	373
100504598	177	2
320202	2462	0
100862334	599	0
69051	1599	486
13590	1604	31
208795	3239	2014
13849	1665	4314
619326	1898	0
67459	3060	292
98417	3268	427
226757	7047	2525
329307	2505	6
72978	2727	2
403180	1819	1236
240960	13996	22
98386	3552	737
433384	1343	1
13800	4288	2570
27058	1388	388
625823	921	0
13244	2005	574
67330	686	0
67948	4913	515
209456	4370	2506
12334	3185	2069
170725	3705	22
433386	2055	0
96935	2035	114
53791	3199	89
68897	5030	189
71678	3456	411
108909	3293	264
338366	6678	1625
21339	2386	579
78772	2736	15
73363	967	26
63953	2712	214
73590	778	0
74971	1722	0
15284	2149	29
66112	2161	68
67247	1883	902
100316821	82	0
226777	2853	162
226778	4565	19
98732	6988	727
100217449	113	0
381314	3540	1508
387189	67	0
387211	112	2
23827	2182	1149
107508	4850	964
319562	3406	0
100039138	2761	0
226781	5836	0
114668	709	0
226791	1577	69
21808	4725	52
67223	1213	105
110957	3212	0
74717	1645	928
69308	823	0
67769	4565	497
100862400	1119	27
26381	5580	277
320272	2212	0
22283	15891	0
226823	3703	787
16526	3959	1089
100042424	516	357
100039307	642	36
108000	11130	37
19250	10746	1407
226830	1605	244
19130	4139	10
100504619	832	0
320119	3995	255
52477	3349	602
226841	4190	7
226844	4087	375
100125339	1649	7
75558	428	14
68972	1258	136
381318	2973	6
381319	712	2
619288	2234	141
11910	1977	26675
100504360	568	61
100861628	406	0
66208	658	205
66950	4204	127
226849	3082	473
100504379	2421	9
76843	4202	20
77065	3252	298
226856	7246	3293
18005	3197	2234
98736	4362	60
22782	5230	888
74023	3720	684
22033	2102	27
100628582	81	0
100042625	720	2000
214742	1597	180
100038712	2612	63
16510	7143	19
226861	2835	12
320952	2041	0
73455	404	0
214791	3401	21
100503471	624	3
329324	1731	17
215193	5548	133
54139	4125	871
319266	3834	45
215243	2121	7
15483	1446	154
14373	843	0
100503531	873	0
16780	4055	217
215303	2453	2
387201	68	0
74942	578	0
18845	11036	1103
100628615	64	0
12490	2621	250
320400	2491	18
320977	5195	65
723963	81	0
387224	88	0
17221	1213	43
12946	1662	401
12902	6207	5
215728	2801	0
619314	1938	0
670558	2817	14
76142	2524	1532
70337	1540	253
213783	7415	208
270685	4332	261
83397	6247	247
381990	3227	366
66084	1849	53
73419	2290	92
100504234	2151	2575
13982	4319	2
64009	18115	5558
68632	2777	98
22353	1527	1
67141	1807	22
108853	2621	78
56533	8191	2
100041224	522	0
18390	2639	0
320495	8240	4
215748	3448	125
77777	1819	2
237253	3403	186
18537	1917	1082
320642	1253	40
69912	1290	32
407824	2188	40
16798	7215	1036
23924	1775	457
215751	1557	775
100503695	916	2
67418	2896	698
237256	4093	14
100628581	94	0
68652	4278	942
338362	4284	12
70097	7183	846
791352	3151	0
320825	2495	56
620417	2980	29
78808	9074	369
215772	5218	4331
67844	2054	20
382450	3785	0
14816	6990	0
78056	444	0
268281	9293	354
71865	5114	786
13853	1079	23
22288	12382	1488
320273	1182	14
74732	2396	78
66125	734	551
22634	5260	1006
100862331	414	0
75122	1053	0
353258	1769	326
215789	8913	591
66848	3954	756
56535	2405	494
66757	1453	29
66253	1054	858
15273	9768	660
100504211	3928	4
215798	6505	386
100039571	514	11
66201	1325	503
69412	910	1
76743	1477	0
18101	1173	0
100504235	3401	0
17684	1969	577
378431	4457	18
380629	3667	473
73112	810	228
19707	2618	658
100045792	2900	1250
215814	1166	157
215819	7638	646
56016	1910	52
215821	8216	128
237300	2355	5
73968	2928	189
64058	1901	1453
21929	4595	764
100504265	6220	0
94222	2066	49
15979	2099	1019
237310	2468	2
237313	2088	0
76157	2629	171
18634	1894	1295
26408	5393	1036
17761	3895	2017
73811	629	0
621697	592	47
72567	5454	2878
71804	2307	32
29863	4127	418
52906	5094	630
100038717	3304	0
100504283	1667	2
17863	3777	3243
56422	4893	632
73990	1016	2
237320	2243	0
76924	485	0
67692	1061	0
432436	2206	1
20393	4158	935
114671	1771	0
319887	2292	8
379043	1274	9
667281	952	0
606736	4515	0
56554	1271	1
100038752	4548	0
353169	3762	777
237336	2875	666
100504411	1274	0
100038582	2198	1
21412	1239	26
14051	4099	0
20042	518	114
100529074	105	17
100529075	68	12
76306	2837	398
26464	1811	79
22361	2416	77
111174	999	0
209512	1020	5
493809	1032	0
209513	1044	1
215854	1014	1
215855	1038	0
215856	1077	0
209517	1077	0
435206	1077	0
276742	1077	0
435207	1077	0
215859	1035	0
382348	1035	0
494546	1109	0
503558	1047	0
53331	2500	772
100862153	747	0
59012	3083	0
14219	2403	229
18605	3224	21
209558	2815	5
70208	4946	435
11846	1477	3
432442	3123	244
13822	4464	520
100504474	674	0
73803	865	0
215866	1543	0
77220	4115	5
100040851	1193	0
268288	3554	1
237339	3411	86
667572	1206	0
73910	3616	3149
16773	9713	86
100040961	485	7
19272	6177	1215
210757	3981	0
100504516	4347	0
114676	1545	4
67719	1319	0
67412	3948	1
212448	5644	1
52665	3180	53
68031	4404	296
72780	2397	4
100504540	2648	0
66311	1512	15
73681	2359	89
100504586	3440	264
66847	696	114
211329	5338	527
15214	2532	19
69692	718	90
21987	1267	36
100041294	710	203
268291	2860	192
432450	3745	0
76757	4514	1
442820	1844	0
100862254	809	0
215890	2500	0
215895	882	0
57430	1096	0
212892	3650	5620
72580	2364	183
414093	7840	6
66521	1082	90
692132	1185	0
270711	3714	0
103511	1786	21
215900	1082	0
212898	4225	70
22110	2696	581
72480	3900	653
319638	2716	463
12813	3130	1
14302	4805	142
100041585	3201	54
319415	3098	0
15182	2004	1130
17118	4186	772
215919	1054	0
16775	6046	386
66337	730	203
71924	2929	42
327743	1418	4
14360	3692	150
100504626	1313	18
103213	2867	646
327744	1664	41
19714	10666	2223
100504659	947	0
213332	781	49
75299	2400	228
72045	2285	11
100041085	1782	79
215928	5981	45
215929	2679	398
72472	6556	799
67239	1890	186
67371	1020	293
19850	104	1
11702	3206	353
78334	5807	654
70840	2243	0
70503	3000	1683
327747	1529	40
71713	3366	382
83767	2550	4
100504721	508	9
140741	1092	0
103199	3263	146
633979	5640	2226
268294	2831	135
171580	3563	81
20598	1602	576
73075	1070	3228
53599	2830	2728
75973	2749	3962
70538	617	10
629461	2137	1205
100628609	55	0
103268	2392	30
140742	3339	206
213402	4865	1404
624784	2896	8
56484	2889	266
215951	2513	551
666540	1120	0
54198	1377	1266
21907	3233	0
14628	3009	327
140740	6032	1366
268297	4745	2
109205	4980	76
74530	1859	9
71365	2031	75
331623	6049	124
67851	898	148
100862325	514	1
12484	1816	29384
414125	1833	0
69443	1060	1
76563	1970	185
170728	2981	262
